Arial Character Width Table
======================================================================
Font Size: 12pt
----------------------------------------------------------------------
 Char  | ASCII  | Width (px) |  Relative to x 
----------------------------------------------------------------------
       |   32   |    3.33    |      0.55      
  !    |   33   |    3.33    |      0.55      
  "    |   34   |    4.27    |      0.71      
  #    |   35   |    6.67    |      1.11      
  $    |   36   |    6.67    |      1.11      
  %    |   37   |   10.67    |      1.78      
  &    |   38   |    8.00    |      1.33      
  '    |   39   |    2.30    |      0.38      
  (    |   40   |    4.00    |      0.67      
  )    |   41   |    4.00    |      0.67      
  *    |   42   |    4.67    |      0.78      
  +    |   43   |    7.02    |      1.17      
  ,    |   44   |    3.33    |      0.55      
  -    |   45   |    4.00    |      0.67      
  .    |   46   |    3.33    |      0.55      
  /    |   47   |    3.33    |      0.55      
  0    |   48   |    6.67    |      1.11      
  1    |   49   |    6.67    |      1.11      
  2    |   50   |    6.67    |      1.11      
  3    |   51   |    6.67    |      1.11      
  4    |   52   |    6.67    |      1.11      
  5    |   53   |    6.67    |      1.11      
  6    |   54   |    6.67    |      1.11      
  7    |   55   |    6.67    |      1.11      
  8    |   56   |    6.67    |      1.11      
  9    |   57   |    6.67    |      1.11      
  :    |   58   |    3.33    |      0.55      
  ;    |   59   |    3.33    |      0.55      
  <    |   60   |    7.02    |      1.17      
  =    |   61   |    7.02    |      1.17      
  >    |   62   |    7.02    |      1.17      
  ?    |   63   |    6.67    |      1.11      
  @    |   64   |   12.19    |      2.03      
  A    |   65   |    8.00    |      1.33      
  B    |   66   |    8.00    |      1.33      
  C    |   67   |    8.67    |      1.45      
  D    |   68   |    8.67    |      1.45      
  E    |   69   |    8.00    |      1.33      
  F    |   70   |    7.33    |      1.22      
  G    |   71   |    9.33    |      1.55      
  H    |   72   |    8.67    |      1.45      
  I    |   73   |    3.33    |      0.55      
  J    |   74   |    6.00    |      1.00      
  K    |   75   |    8.00    |      1.33      
  L    |   76   |    6.67    |      1.11      
  M    |   77   |   10.00    |      1.67      
  N    |   78   |    8.67    |      1.45      
  O    |   79   |    9.33    |      1.55      
  P    |   80   |    8.00    |      1.33      
  Q    |   81   |    9.33    |      1.55      
  R    |   82   |    8.67    |      1.45      
  S    |   83   |    8.00    |      1.33      
  T    |   84   |    7.33    |      1.22      
  U    |   85   |    8.67    |      1.45      
  V    |   86   |    8.00    |      1.33      
  W    |   87   |   11.33    |      1.89      
  X    |   88   |    8.00    |      1.33      
  Y    |   89   |    8.00    |      1.33      
  Z    |   90   |    7.33    |      1.22      
  [    |   91   |    3.33    |      0.55      
  \    |   92   |    3.33    |      0.55      
  ]    |   93   |    3.33    |      0.55      
  ^    |   94   |    5.62    |      0.94      
  _    |   95   |    6.00    |      1.00      
  `    |   96   |    4.00    |      0.67      
  a    |   97   |    6.67    |      1.11      
  b    |   98   |    6.67    |      1.11      
  c    |   99   |    6.00    |      1.00      
  d    |  100   |    6.67    |      1.11      
  e    |  101   |    6.67    |      1.11      
  f    |  102   |    3.33    |      0.55      
  g    |  103   |    6.67    |      1.11      
  h    |  104   |    6.67    |      1.11      
  i    |  105   |    2.67    |      0.45      
  j    |  106   |    2.67    |      0.45      
  k    |  107   |    6.00    |      1.00      
  l    |  108   |    2.67    |      0.45      
  m    |  109   |   10.00    |      1.67      
  n    |  110   |    6.67    |      1.11      
  o    |  111   |    6.67    |      1.11      
  p    |  112   |    6.67    |      1.11      
  q    |  113   |    6.67    |      1.11      
  r    |  114   |    4.00    |      0.67      
  s    |  115   |    6.00    |      1.00      
  t    |  116   |    3.33    |      0.55      
  u    |  117   |    6.67    |      1.11      
  v    |  118   |    6.00    |      1.00      
  w    |  119   |    8.67    |      1.45      
  x    |  120   |    6.00    |      1.00      
  y    |  121   |    6.00    |      1.00      
  z    |  122   |    6.00    |      1.00      
  {    |  123   |    4.02    |      0.67      
  |    |  124   |    3.12    |      0.52      
  }    |  125   |    4.02    |      0.67      
  ~    |  126   |    7.02    |      1.17      


Font Size: 14pt
----------------------------------------------------------------------
 Char  | ASCII  | Width (px) |  Relative to x 
----------------------------------------------------------------------
       |   32   |    3.89    |      0.56      
  !    |   33   |    3.89    |      0.56      
  "    |   34   |    4.97    |      0.71      
  #    |   35   |    7.78    |      1.11      
  $    |   36   |    7.78    |      1.11      
  %    |   37   |   12.45    |      1.78      
  &    |   38   |    9.34    |      1.33      
  '    |   39   |    2.67    |      0.38      
  (    |   40   |    4.66    |      0.67      
  )    |   41   |    4.66    |      0.67      
  *    |   42   |    5.45    |      0.78      
  +    |   43   |    8.17    |      1.17      
  ,    |   44   |    3.89    |      0.56      
  -    |   45   |    4.66    |      0.67      
  .    |   46   |    3.89    |      0.56      
  /    |   47   |    3.89    |      0.56      
  0    |   48   |    7.78    |      1.11      
  1    |   49   |    7.78    |      1.11      
  2    |   50   |    7.78    |      1.11      
  3    |   51   |    7.78    |      1.11      
  4    |   52   |    7.78    |      1.11      
  5    |   53   |    7.78    |      1.11      
  6    |   54   |    7.78    |      1.11      
  7    |   55   |    7.78    |      1.11      
  8    |   56   |    7.78    |      1.11      
  9    |   57   |    7.78    |      1.11      
  :    |   58   |    3.89    |      0.56      
  ;    |   59   |    3.89    |      0.56      
  <    |   60   |    8.17    |      1.17      
  =    |   61   |    8.17    |      1.17      
  >    |   62   |    8.17    |      1.17      
  ?    |   63   |    7.78    |      1.11      
  @    |   64   |   14.22    |      2.03      
  A    |   65   |    9.34    |      1.33      
  B    |   66   |    9.34    |      1.33      
  C    |   67   |   10.11    |      1.44      
  D    |   68   |   10.11    |      1.44      
  E    |   69   |    9.34    |      1.33      
  F    |   70   |    8.55    |      1.22      
  G    |   71   |   10.89    |      1.56      
  H    |   72   |   10.11    |      1.44      
  I    |   73   |    3.89    |      0.56      
  J    |   74   |    7.00    |      1.00      
  K    |   75   |    9.34    |      1.33      
  L    |   76   |    7.78    |      1.11      
  M    |   77   |   11.66    |      1.67      
  N    |   78   |   10.11    |      1.44      
  O    |   79   |   10.89    |      1.56      
  P    |   80   |    9.34    |      1.33      
  Q    |   81   |   10.89    |      1.56      
  R    |   82   |   10.11    |      1.44      
  S    |   83   |    9.34    |      1.33      
  T    |   84   |    8.55    |      1.22      
  U    |   85   |   10.11    |      1.44      
  V    |   86   |    9.34    |      1.33      
  W    |   87   |   13.22    |      1.89      
  X    |   88   |    9.34    |      1.33      
  Y    |   89   |    9.34    |      1.33      
  Z    |   90   |    8.55    |      1.22      
  [    |   91   |    3.89    |      0.56      
  \    |   92   |    3.89    |      0.56      
  ]    |   93   |    3.89    |      0.56      
  ^    |   94   |    6.56    |      0.94      
  _    |   95   |    7.00    |      1.00      
  `    |   96   |    4.66    |      0.67      
  a    |   97   |    7.78    |      1.11      
  b    |   98   |    7.78    |      1.11      
  c    |   99   |    7.00    |      1.00      
